,ISBN-10,ISBN-13,Publisher,Publish Date
0,                          ISBN-10: 0140442820,                          ISBN-13: 9780140442823,                          Publisher: Penguin Group ,                                Publish Date: 12/05/1989 
1,                          ISBN-10: 9629968002,                          ISBN-13: 9789629968007,                          Publisher: New York Review of Books ,                                Publish Date: 03/14/2017 
2,                          ISBN-10: 014044971X,                          ISBN-13: 9780140449716,                          Publisher: Penguin Group ,                                Publish Date: 06/28/2005 
3,                          ISBN-10: 0241310873,                          ISBN-13: 9780241310878,                          Publisher: Penguin Group ,                                Publish Date: 07/14/2020 
4,                          ISBN-10: 0143131273,                          ISBN-13: 9780143131274,                          Publisher: Penguin Group ,                                Publish Date: 02/12/2019 
5,                          ISBN-10: 0141395931,                          ISBN-13: 9780141395937,                          Publisher: Penguin Group ,                                Publish Date: 08/14/2018 
6,                          ISBN-10: 0141392576,                          ISBN-13: 9780141392578,                          Publisher: Penguin Group ,                                Publish Date: 12/06/2016 
7,                          ISBN-10: 1590308468,                          ISBN-13: 9781590308462,                          Publisher: Shambhala ,                                Publish Date: 10/12/2010 
8,                          ISBN-10: 0811213234,                          ISBN-13: 9780811213233,                          Publisher: New Directions Publishing Corporation ,                                Publish Date: 05/17/1996 
9,                          ISBN-10: 0811207455,                          ISBN-13: 9780811207454,                          Publisher: New Directions Publishing Corporation ,                                Publish Date: 01/17/1980 
10,                          ISBN-10: 0231186851,                          ISBN-13: 9780231186858,                          Publisher: Columbia University Press ,                                Publish Date: 01/21/2020 
11,                          ISBN-10: 9629966603,                          ISBN-13: 9789629966607,                          Publisher: New York Review of Books ,                                Publish Date: 03/14/2017 
12,                          ISBN-10: 1681374013,                          ISBN-13: 9781681374017,                          Publisher: New York Review of Books ,                                Publish Date: 11/12/2019 
13,                          ISBN-10: 0804463522,                          ISBN-13: 9780804463522,                          Publisher: Frederick Ungar ,                                Publish Date: 01/01/1986 
14,                          ISBN-10: 0140424768,                          ISBN-13: 9780140424768,                          Publisher: Penguin Group ,                                Publish Date: 08/14/2018 
15,                          ISBN-10: 0521186749,                          ISBN-13: 9780521186742,                          Publisher: Cambridge University Press ,                                Publish Date: 09/01/2011 
16,                          ISBN-10: 0525562435,                          ISBN-13: 9780525562436,                          Publisher: Vintage ,                                Publish Date: 12/03/2019 
17,                          ISBN-10: 0231187998,                          ISBN-13: 9780231187992,                          Publisher: Columbia University Press ,                                Publish Date: 04/06/2021 
18,                          ISBN-10: 1570621446,                          ISBN-13: 9781570621444,                          Publisher: Shambhala ,                                Publish Date: 10/15/1997 
19,                          ISBN-10: 9629965852,                          ISBN-13: 9789629965853,                          Publisher: New York Review of Books ,                                Publish Date: 01/13/2015 
