,0
0,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
1,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
2,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
3,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
4,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
5,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
6,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
7,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
8,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
9,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
10,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
11,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
12,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
13,"
	                          ISBN-10: 0141392649
	                          ISBN-13: 9780141392646
	                          Publisher: Penguin Group 
							                          Publish Date: 04/17/2018 
							                          Dimensions: 7.70"" L, 5.10"" W, 0.80"" H	                    "
